product_id,address,price,area,bedrooms_num,bathrooms_num
41178850,"Bình Thạnh, Hồ Chí Minh",18 triệu/tháng,85 m²,2,2
42133599,"Cầu Giấy, Hà Nội",Giá thỏa thuận,200 m²,0,0
41010945,"Quận 7, Hồ Chí Minh",11 triệu/tháng,68 m²,2,2
42083205,"Quận 7, Hồ Chí Minh",9 triệu/tháng,54 m²,0,0
42132611,"Bình Thạnh, Hồ Chí Minh","23,9 triệu/tháng",160 m²,3,4
41251028,"Gò Vấp, Hồ Chí Minh",5 triệu/tháng,22 m²,0,1
42132467,"Vũng Tàu, Bà Rịa Vũng Tàu",6 triệu/tháng,51 m²,1,1
42132369,"Quận 1, Hồ Chí Minh",10 triệu/tháng,60 m²,2,1
42131787,"Hai Bà Trưng, Hà Nội",17 triệu/tháng,120 m²,3,0
42131754,"Thanh Xuân, Hà Nội",350 nghìn/m²,256 m²,0,0
42119192,"Bình Tân, Hồ Chí Minh","7,5 triệu/tháng",75 m²,2,2
37094839,"Gia Lâm, Hà Nội",5 triệu/tháng,68 m²,2,2
41714585,"Bình Tân, Hồ Chí Minh","7,5 triệu/tháng",75 m²,2,2
40939969,"Long Thành, Đồng Nai",35 nghìn/m²,2.000 m²,0,0
42126587,"Nam Từ Liêm, Hà Nội",7 triệu/tháng,32 m²,1,1
41638849,"Quận 2, Hồ Chí Minh",17 triệu/tháng,73 m²,2,2
39974357,"Nam Từ Liêm, Hà Nội",30 triệu/tháng,125 m²,0,2
42129573,"Tân Bình, Hồ Chí Minh",8 triệu/tháng,60 m²,0,0
40646042,"Hà Đông, Hà Nội",6 triệu/tháng,60 m²,0,0
41080102,"Quận 2, Hồ Chí Minh",17 triệu/tháng,52 m²,1,1
41587121,"Quận 2, Hồ Chí Minh",14 triệu/tháng,76 m²,2,2
34639129,"Thống Nhất, Đồng Nai",Giá thỏa thuận,11.445 m²,0,0
36695823,"Bắc Ninh, Bắc Ninh",Giá thỏa thuận,32.136 m²,0,0
42125771,"Bình Tân, Hồ Chí Minh","7,5 triệu/tháng",50 m²,1,1
42125103,"Quận 10, Hồ Chí Minh",19 triệu/tháng,87 m²,2,2
42125092,"Quận 9, Hồ Chí Minh",6 triệu/tháng,59 m²,2,2
40770116,"Quận 12, Hồ Chí Minh",7 triệu/tháng,67 m²,2,2
37843199,"Quận 2, Hồ Chí Minh",14 triệu/tháng,76 m²,2,2
34270339,"Quận 1, Hồ Chí Minh",18 triệu/tháng,85 m²,2,2
42124111,"Nhà Bè, Hồ Chí Minh",28 triệu/tháng,71 m²,4,6
39269040,"Quận 7, Hồ Chí Minh",10 triệu/tháng,71 m²,2,1
42112927,"Quận 1, Hồ Chí Minh",22 triệu/tháng,50 m²,1,0
41688614,"Tây Hồ, Hà Nội",18 triệu/tháng,45 m²,1,1
30361507,"Dĩ An, Bình Dương","7,5 triệu/tháng",75 m²,2,2
26284503,"Thủ Đức, Hồ Chí Minh",7 triệu/tháng,56 m²,2,1
42120471,"Hai Bà Trưng, Hà Nội",12 triệu/tháng,75 m²,0,0
41583449,"Quận 7, Hồ Chí Minh","8,5 triệu/tháng",54 m²,1,1
41788376,"Bình Thạnh, Hồ Chí Minh",399 nghìn/m²,169 m²,0,2
40800800,"Bình Thạnh, Hồ Chí Minh",232 nghìn/m²,3.100 m²,0,13
42119474,"Quận 1, Hồ Chí Minh","7,5 triệu/tháng",30 m²,1,1
40407187,"Quận 9, Hồ Chí Minh",6 triệu/tháng,60 m²,1,1
37143155,"Quận 8, Hồ Chí Minh","3,8 triệu/tháng",16 m²,0,0
42092124,"Hai Bà Trưng, Hà Nội",13 triệu/tháng,90 m²,2,2
42117172,"Cầu Giấy, Hà Nội",43 triệu/tháng,220 m²,0,0
40488202,"Phú Nhuận, Hồ Chí Minh",68 triệu/tháng,250 m²,0,4
40078321,"Quận 2, Hồ Chí Minh",28 triệu/tháng,77 m²,2,2
42116747,"Thanh Xuân, Hà Nội","17,8 triệu/tháng",100 m²,0,0
40370439,"Nhà Bè, Hồ Chí Minh","2,7 triệu/tháng",10 m²,0,0
41376284,"Nhà Bè, Hồ Chí Minh","2,5 triệu/tháng",10 m²,1,1
41376559,"Nhà Bè, Hồ Chí Minh","2,4 triệu/tháng",12 m²,0,0
39446514,"Gò Vấp, Hồ Chí Minh",5 triệu/tháng,30 m²,0,1
42115809,"Hai Bà Trưng, Hà Nội","13,5 triệu/tháng",83 m²,2,2
36302761,"Bình Thạnh, Hồ Chí Minh","18,5 triệu/tháng",85 m²,2,2
38925927,"Quận 1, Hồ Chí Minh",18 triệu/tháng,83 m²,2,2
41944012,"Quận 9, Hồ Chí Minh","4,5 triệu/tháng",30 m²,1,1
39240133,"Quận 4, Hồ Chí Minh",17 triệu/tháng,80 m²,2,2
39621891,"Quận 2, Hồ Chí Minh",12 triệu/tháng,51 m²,1,1
42113498,"Gia Lâm, Hà Nội","6,5 triệu/tháng",30 m²,1,1
40249339,"Quận 2, Hồ Chí Minh",20 triệu/tháng,88 m²,2,2
42106534,"Tân Yên, Bắc Giang",Giá thỏa thuận,7.000 m²,0,0
40051114,"Tân Phú, Hồ Chí Minh",7 triệu/tháng,49 m²,1,1
42100033,"Thanh Xuân, Hà Nội","437,5 nghìn/m²",405 m²,0,0
40295312,"Nam Từ Liêm, Hà Nội",6 triệu/tháng,28 m²,1,1
41713089,"Quận 2, Hồ Chí Minh",18 triệu/tháng,52 m²,1,1
39873763,"Quận 1, Hồ Chí Minh",35 triệu/tháng,110 m²,3,2
42101846,"Thanh Xuân, Hà Nội",25 triệu/tháng,40 m²,3,4
42104707,"Quận 2, Hồ Chí Minh",7 triệu/tháng,35 m²,0,0
42103713,"Quận 2, Hồ Chí Minh",17 triệu/tháng,75 m²,2,2
40524828,"Nam Từ Liêm, Hà Nội",5 triệu/tháng,24 m²,1,0
39395299,"Gò Vấp, Hồ Chí Minh",12 triệu/tháng,78 m²,2,2
42101046,"Quận 1, Hồ Chí Minh",15 triệu/tháng,"68,7 m²",0,0
42015116,"Quảng Yên, Quảng Ninh",151 nghìn/m²,127.000 m²,0,0
41835729,"Cầu Giấy, Hà Nội",14 triệu/tháng,38 m²,1,1
40725035,"Cầu Giấy, Hà Nội",Giá thỏa thuận,45 m²,0,0
42099606,"Cầu Giấy, Hà Nội",14 triệu/tháng,70 m²,2,2
42099576,"Thanh Trì, Hà Nội",Giá thỏa thuận,335 m²,0,0
42099573,"Liên Chiểu, Đà Nẵng",Giá thỏa thuận,5.000 m²,0,0
41924771,"Bắc Từ Liêm, Hà Nội",80 triệu/tháng,280 m²,0,0
38427406,"Quận 10, Hồ Chí Minh",20 triệu/tháng,90 m²,2,2
42024369,"Thủ Đức, Hồ Chí Minh",310 triệu/tháng,4.007 m²,0,0
40532698,"Quận 12, Hồ Chí Minh",Giá thỏa thuận,500 m²,0,0
42094202,"Quận 7, Hồ Chí Minh",Giá thỏa thuận,100 m²,0,0
41429932,"Bắc Từ Liêm, Hà Nội",Giá thỏa thuận,115 m²,0,0
39278754,"Thanh Xuân, Hà Nội",Giá thỏa thuận,12 m²,0,0
40081133,"Quận 7, Hồ Chí Minh",13 triệu/tháng,56 m²,1,1
42096892,"Thủ Đức, Hồ Chí Minh",15 triệu/tháng,119 m²,2,3
42096801,"Quận 5, Hồ Chí Minh",19 triệu/tháng,33 m²,2,3
42096136,"Hai Bà Trưng, Hà Nội",25 triệu/tháng,50 m²,0,0
42096587,"Hai Bà Trưng, Hà Nội","4,8 triệu/tháng",16 m²,1,1
40555496,"Quận 7, Hồ Chí Minh",3 triệu/tháng,10 m²,0,0
42095460,"Ba Đình, Hà Nội",8 triệu/tháng,55 m²,0,1
41247556,"Hai Bà Trưng, Hà Nội",250 triệu/tháng,220 m²,0,0
40371771,"Cầu Giấy, Hà Nội",29 triệu/tháng,160 m²,0,0
40955319,"Cầu Giấy, Hà Nội",40 triệu/tháng,200 m²,0,0
36237787,"Tây Hồ, Hà Nội",320 nghìn/m²,120 m²,0,0
42093736,"Gò Vấp, Hồ Chí Minh","4,6 triệu/tháng",22 m²,1,1
